file_A;onset_A;offset_A;#item_A;phone_A;new_A;file_B;onset_B;offset_B;#item_B;phone_B;speaker;question_B;new;dist
geo020s08a0086v01;0.604739;0.733739;#91;pa;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.114721723368
geo020s08a0087v01;0.947635;1.076635;#93;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.0875832886313
geo020s08a0098v01;0.750093;0.879093;#104;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.0930627238916
geo020s08a0105v01;0.834203;0.963203;#111;pa;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.145949417452
geo020s08a0107v01;0.793341;0.922341;#115;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.109705273453
geo020s08a0115v01;0.998281;1.127281;#123;pa;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.115134595148
geo020s08a0116v01;0.822226;0.951226;#125;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.0828737818466
geo020s08a0119v01;0.945455;1.074455;#129;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.111448951123
geo020s08a0120v01;0.634487;0.763487;#131;pa;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.119813555902
geo020s08a0128v01;0.710235;0.839235;#139;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.0992645832838
geo020s08a0133v01;0.854538;0.983538;#145;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.111194921836
geo020s08a0137v01;0.76199;0.89099;#150;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.0746467910768
geo020s08a0141v01;0.803768;0.932768;#155;pa;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.132985328614
geo020s08a0158v01;0.947753;1.076753;#179;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.0981503509416
geo020s08a0192v01;0.785025;0.914025;#213;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.0913479879206
geo020s08a0194v01;0.702436;0.831436;#217;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.0932324313569
geo020s08a0197v01;0.903041;1.032041;#220;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.0823636591235
geo020s08a0201v01;0.835774;0.964774;#227;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.0686161243075
geo020s08a0203v01;0.737069;0.866069;#230;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.0785902143219
geo020s08a0215v01;0.784613;0.913613;#240;p>a;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.0796872905065
geo020s08a0217v01;0.847427;0.976427;#244;pa;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.119221685077
geo020s08a0219v01;0.881031;1.010031;#245;pa;new;geo020s08a0068v01;0.873685;1.002685;#66;p>a;s08;question;new;0.153497951541
