 file_A onset_A offset_A file_B onset_B offset_B "d(A, B)"
4 geo020s08a0222v01 1.096152 1.163182 geo020s08a0081v01 0.926044 0.984595 0.0922535969577
5 geo020s08a0081v01 0.926044 0.984595 geo020s08a0087v01 1.306648 1.376146 0.0658767298681
6 geo020s08a0118v01 1.077017 1.140616 geo020s08a0087v01 1.306648 1.376146 0.0796239220625
7 geo020s08a0120v01 0.988689 1.03044 geo020s08a0087v01 1.306648 1.376146 0.154602855139
8 geo020s08a0216v01 0.746981 0.79737 geo020s08a0087v01 1.306648 1.376146 0.120052671174
9 geo020s08a0222v01 1.096152 1.163182 geo020s08a0087v01 1.306648 1.376146 0.0607045002864
10 geo020s08a0081v01 0.926044 0.984595 geo020s08a0118v01 1.077017 1.140616 0.075319198694
11 geo020s08a0087v01 1.306648 1.376146 geo020s08a0118v01 1.077017 1.140616 0.0796239220625
12 geo020s08a0120v01 0.988689 1.03044 geo020s08a0118v01 1.077017 1.140616 0.181495426113
13 geo020s08a0216v01 0.746981 0.79737 geo020s08a0118v01 1.077017 1.140616 0.108965808572
14 geo020s08a0222v01 1.096152 1.163182 geo020s08a0118v01 1.077017 1.140616 0.0885725605885
15 geo020s08a0081v01 0.926044 0.984595 geo020s08a0120v01 0.988689 1.03044 0.143509382418
16 geo020s08a0087v01 1.306648 1.376146 geo020s08a0120v01 0.988689 1.03044 0.154602855139
17 geo020s08a0118v01 1.077017 1.140616 geo020s08a0120v01 0.988689 1.03044 0.181495426113
18 geo020s08a0216v01 0.746981 0.79737 geo020s08a0120v01 0.988689 1.03044 0.186534168264
19 geo020s08a0222v01 1.096152 1.163182 geo020s08a0120v01 0.988689 1.03044 0.161344811607
20 geo020s08a0081v01 0.926044 0.984595 geo020s08a0216v01 0.746981 0.79737 0.0930794113665
21 geo020s08a0087v01 1.306648 1.376146 geo020s08a0216v01 0.746981 0.79737 0.120052671174
22 geo020s08a0118v01 1.077017 1.140616 geo020s08a0216v01 0.746981 0.79737 0.108965808572
23 geo020s08a0120v01 0.988689 1.03044 geo020s08a0216v01 0.746981 0.79737 0.186534168264
24 geo020s08a0222v01 1.096152 1.163182 geo020s08a0216v01 0.746981 0.79737 0.128051766866
0 geo020s09a0085v02 1.019652 1.094645 geo020s09a0083v02 0.928808 1.007662 0.0456090358966
1 geo020s09a0126v02 1.105634 1.188014 geo020s09a0083v02 0.928808 1.007662 0.116338670293
2 geo020s09a0239v02 0.842729 0.919136 geo020s09a0083v02 0.928808 1.007662 0.070138088273
3 geo020s09a0240v02 0.713095 0.765288 geo020s09a0083v02 0.928808 1.007662 0.0749643218239
4 geo020s09a0241v02 0.968871 1.055413 geo020s09a0083v02 0.928808 1.007662 0.0643488563518
5 geo020s09a0242v02 0.718548 0.80748 geo020s09a0083v02 0.928808 1.007662 0.0618198708519
6 geo020s09a0083v02 0.928808 1.007662 geo020s09a0085v02 1.019652 1.094645 0.0456090358966
7 geo020s09a0126v02 1.105634 1.188014 geo020s09a0085v02 1.019652 1.094645 0.110384983825
8 geo020s09a0239v02 0.842729 0.919136 geo020s09a0085v02 1.019652 1.094645 0.0746972649003
9 geo020s09a0240v02 0.713095 0.765288 geo020s09a0085v02 1.019652 1.094645 0.0621533627882
10 geo020s09a0241v02 0.968871 1.055413 geo020s09a0085v02 1.019652 1.094645 0.0667766352137
11 geo020s09a0242v02 0.718548 0.80748 geo020s09a0085v02 1.019652 1.094645 0.0627319316618
12 geo020s09a0083v02 0.928808 1.007662 geo020s09a0126v02 1.105634 1.188014 0.116338670293
13 geo020s09a0085v02 1.019652 1.094645 geo020s09a0126v02 1.105634 1.188014 0.110384983825
14 geo020s09a0239v02 0.842729 0.919136 geo020s09a0126v02 1.105634 1.188014 0.120472035473
15 geo020s09a0240v02 0.713095 0.765288 geo020s09a0126v02 1.105634 1.188014 0.103303047172
16 geo020s09a0241v02 0.968871 1.055413 geo020s09a0126v02 1.105634 1.188014 0.111054769492
17 geo020s09a0242v02 0.718548 0.80748 geo020s09a0126v02 1.105634 1.188014 0.117348752395
18 geo020s09a0083v02 0.928808 1.007662 geo020s09a0239v02 0.842729 0.919136 0.070138088273
19 geo020s09a0085v02 1.019652 1.094645 geo020s09a0239v02 0.842729 0.919136 0.0746972649003
